include,source,title,authors,url,doi
NO,google scholar,A Cloud-Based Scientific Gateway for Internet of Things Data Analytics,KP Lee and SJ Kuhl and HJ Bockholt and BP Rogers…,https://dl.acm.org/citation.cfm?id=3219123,
NO,google scholar,A collaborative internet of things architecture for smart cities and environmental monitoring,F Montori and L Bedogni and L Bononi,https://ieeexplore.ieee.org/abstract/document/7961139/,
NO,google scholar,A Commercial Perspective on Open Source Hardware-An Interdisciplinary Law and Management Investigation of the Personal 3D Printing Industry,HW Frandsen,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2285055,
NO,google scholar,A comparative study on VGI and professional noise data,I Garcia-Martí and J Torres-Sospedra and LE Rodríguez-Pupo,http://repositori.uji.es/xmlui/handle/10234/98489,
NO,google scholar,A Comprehensive IoT Node Proposal Using Open Hardware. A Smart Farming Use Case to Monitor Vineyards,S Trilles and A González-Pérez and J Huerta,https://www.mdpi.com/2079-9292/7/12/419,
SI,scopus,A comprehensive IoT node proposal using open hardware. A smart farming use case to monitor vineyards,"Trilles S., González-Pérez A., Huerta J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059973888&doi=10.3390%2felectronics7120419&partnerID=40&md5=28accb32cf4126150e04a255c83a9ac4,10.3390/electronics7120419
NO,google scholar,A comprehensive IoT node proposal using open hardware. A smart farming use case to monitor vineyards.,S Trilles Oliver and A González Pérez and J Huerta,http://repositori.uji.es/xmlui/handle/10234/180897,
NO,zenodo,A crowdsourcing approach to collecting photo-based insect and plant observation records,"- Osawa, Takeshi
- Yamanaka, Takehiko
- Nakatani, Yukinobu
- Nishihiro, Jun
- Takahashi, Shiori
- Mahoro, Suzuki
- Sasaki, Hironobu",,10.3897/BDJ.5.e21271
NO,zenodo,A data-driven approach for understanding Open Design. Mapping social interactions in collaborative processes on GitHub,- Massimo Menichinelli,,10.1080/14606925.2017.1352869
NO,zenodo,A database on the distribution of butterflies (Lepidoptera) in northern Belgium (Flanders and the Brussels Capital Region),"- Maes, Dirk
- Vanreusel, Wouter
- Herremans, Marc
- Vantieghem, Pieter
- Brosens, Dimitri
- Gielen, Karin
- Beck, Olivier
- Van Dyck, Hans
- Desmet, Peter
- Natuurpunt, Vlinderwerkgroep",,10.3897/zookeys.585.8019
NO,zenodo,A decade of the India Biodiversity Portal: Planning ahead with technology to enhance citizen science participation in India,"- Vattakaven, Thomas
- Surendran, Harikrishnan
- Rajagopal, Prabhakar",,10.3897/biss.3.37202
NO,google scholar,A decentralized method for making sensor measurements tamper-proof to support open science applications,P Wortner and M Schubotz and C Breitinger and S Leible…,https://arxiv.org/abs/1904.00237,
NO,google scholar,A derivation of factors influencing the innovation diffusion of the OpenStreetMap in STEM education,S Shiau and CY Huang and CL Yang and JN Juang,https://www.mdpi.com/2071-1050/10/10/3447,
NO,google scholar,A facilitated expert‐based approach to architecting “openable” complex systems,Z Szajnfarber and A Vrolijk,https://onlinelibrary.wiley.com/doi/abs/10.1002/sys.21419,
NO,zenodo,A Family Cars- Life Cycle Cost (LCC)-Oriented Hybrid Modelling Approach Combining ANN and CBR,"- Xiaochuan Chen
- Jianguo Yang
- Beizhi Li",,10.5281/zenodo.1081191
NO,zenodo,A fork in the alphabet soup: DoeDat a multilingual crowdsourcing platform,"- Groom, Quentin
- Bogaerts, Ann
- Veríssimo Pereira, Nuno
- De Smedt, Sofie",,10.3897/biss.2.25148
NO,zenodo,A framework for addressing ethical issues in citizen science,"- Resnik, David B.
- Elliott, Kevin C.
- Miller, Aubrey K.",,10.1016/j.envsci.2015.05.008
NO,google scholar,A Full Understanding of Things,R Stoop and ETH Zürich,https://www.zora.uzh.ch/id/eprint/121840/1/DAW%20Seoul%20interviews.pdf,
NO,google scholar,A game for crowdsourcing the segmentation of BigBrain data,A Klein,https://riojournal.com/article/8816/download/pdf/,
NO,zenodo,"A guide to the identification of the terrestrial Isopoda of Maryland, U.S.A. (Crustacea)","- Shultz, Jeffrey W.",,10.3897/zookeys.801.24146
NO,google scholar,A low-cost 3D printed system for monitoring meteorological characteristics in citizen-science projects,P Valent and R Výleta and M Danácová…,https://www.researchgate.net/profile/Peter_Valent/publication/324499135_A_LOW-COST_3D_PRINTED_SYSTEM_FOR_MONITORING_METEOROLOGICAL_CHARACTERISTICS_IN_CITIZEN-SCIENCE_PROJECTS/links/5ad0a26caca2723a33472f94/A-LOW-COST-3D-PRINTED-SYSTEM-FOR-MONITORING-METEOROLOGICAL-CHARACTERISTICS-IN-CITIZEN-SCIENCE-PROJECTS.pdf,
SI,google scholar,"A low-cost DIY device for high resolution, continuous measurement of microbial growth dynamics",K Sasidharan and AS Martinez-Vernon and J Chen and T Fu…,https://www.biorxiv.org/content/10.1101/407742v1.abstract,
NO,zenodo,A Low-Cost Vision-Based Unmanned Aerial System for Extremely Low-Light GPS-Denied Navigation and Thermal Imaging,"- Chang Liu
- John Nash
- Stephen D. Prior",,10.5281/zenodo.1109890
NO,google scholar,A miniature data repository on a Raspberry Pi,A Samourkasidis and I Athanasiadis,https://www.mdpi.com/2079-9292/6/1/1,
NO,zenodo,"A multi-access identification key based on colour patterns in ladybirds (Coleoptera, Coccinellidae)","- Jouveau, Séverin
- Delaunay, Mathilde
- Vignes-Lebbe, Régine
- Nattier, Romain",,10.3897/zookeys.758.22171
NO,zenodo,A Multi-platform Mobile Application to Collect Citizen Science Data for Bignoniaceae Phenological Research,"- Leocadio, Jailson
- Veiga, Allan
- Barbosa, Matheus
- Albertini, Bruno
- Lohmann, Lúcia
- Saraiva, Antonio",,10.3897/biss.2.25582
NO,google scholar,A New Alignment of Movements?,D Bollier and P Conaty,http://geo.coop/sites/default/files/report_a_new_alignment_of_movements_february_2015_0.pdf,
NO,google scholar,A NOTE ON THE AUTHORS,E Anzelmo and A Bassi and D Caprio and S Dodson…,https://www.theinternetofthings.eu/sites/default/files/Rob%20van%20Kranenburg/Internet%20of%20Things%20Institute%20for%20Internet%20&%20Society%20Discussion%20Paper.pdf,
NO,google scholar,A physiocratic systems framework for open source agricultural research and development,D Cox,https://scholars.unh.edu/dissertation/2177/,
NO,google scholar,A picture is worth a thousand data points: an imagery dataset of paired shrub-open microsites within the Carrizo Plain National Monument,TJ Noble and CJ Lortie and M Westphal…,https://gigascience.biomedcentral.com/articles/10.1186/s13742-016-0145-2,
NO,google scholar,A recipe for standards-based data sharing using open source software and low-cost electronics,JM Sadler and DP Ames and R Khattar,https://iwaponline.com/jh/article-abstract/18/2/185/21,
NO,zenodo,"A Reportage about the Research Cluster: The Past for the Present, 2018","- Korwin-Piotrowski, Krzysztof",,10.5281/zenodo.2620123
NO,zenodo,A Review of the Capacity for OpenStreetMap Software in Humanitarian Disaster Response: A Case Study Investigating the Humanitarian OpenStreetMap Team Response to the 2015 Nepalese Earthquake,"- Rieger, Courtney",,10.5281/zenodo.399298
NO,google scholar,A review of the emergent ecosystem of collaborative geospatial tools for addressing environmental challenges,J Palomino and OC Muellerklein and M Kelly,https://www.sciencedirect.com/science/article/pii/S0198971516304458,
NO,zenodo,A REVIEW: ENVIRONMENTAL MONITORING APPLICATIONS USING WIRELESS SENSOR TECHNOLOGY,- Krishna M. Biradar,,10.5281/zenodo.1474141
NO,zenodo,"A scaling down mapping of Pinna nobilis (Linnaeus, 1758) through the combination of scientific literature, NATURA 2000, grey literature and citizen science data","- Marrocco, Vanessa
- Zangaro, Francesco
- Sicuro, Alessandro
- Pinna, Maurizio",,10.3897/natureconservation.33.30397
NO,google scholar,A scoping study of user needs for integrated assessment of climate change in the UK context: part 1 of the development of an interactive integrated assessment …,J Turnpenny and A Haxeltine and T O'Riordan,https://www.tandfonline.com/doi/abs/10.1080/13895170590514309,
NO,zenodo,A shallow-living benthic Rhodaliid siphonophore: citizen science discovery from Papua New Guinea,"- Mapstone, Gillian M.",,10.11646/zootaxa.4324.1.11
NO,zenodo,A Shift Towards Iterative and Open-Source Design for Musical Interfaces,"- Vallis, Owen
- Hochenbaum, Jordan
- Kapur, Ajay",,10.5281/zenodo.1177919
NO,google scholar,A showroom turned fab lab: open collaborative innovation in open kitchen design–a case study,J Faludi,http://unipub.lib.uni-corvinus.hu/2861/,
NO,google scholar,A speculation on the possible use of badges for learning at the UK Open University,J Rosewell,http://oro.open.ac.uk/34620/,
NO,zenodo,A Study on using N-Pattern Chains of Design Patterns based on Software Quality Metrics,"- Niloofar Khedri
- Masoud Rahgozar
- MahmoudReza Hashemi",,10.5281/zenodo.1077815
NO,zenodo,A three-pronged strategy to improve trust in biodiversity data produced by citizen science programs,"- Stevenson, Robert",,10.3897/biss.2.25838
SI,google scholar,A toolbox for understanding and implementing a citizens' observatory on air monitoring,HY Liu and M Kobernus and M Fredriksen and Y Golumbic…,https://link.springer.com/chapter/10.1007/978-3-319-76445-0_3,
NO,zenodo,A Versatile Architecture for Building IoT Quantified-Self Applications,"- Menychtas, Andreas
- Doukas, Charalampos
- Tsanakas, Panayiotis
- Maglogiannis, Ilias",,10.1109/CBMS.2017.80
NO,google scholar,"A web 2.0 ea emergência dos conceitos de"" peer production"" e"" crowdsourcing""",GM Suguiy,http://repositorio.unicamp.br/handle/REPOSIP/322430,
NO,zenodo,"A wiki approach to collecting, curating and managing citizen science data",- Daniel Mietchen,,10.5281/zenodo.2560019
NO,google scholar,About the Wilson Center,A Bowser,https://www.wilsoncenter.org/blog-post/citizen-science-and-environmental-monitoring-reflections-nemc-2017,
NO,google scholar,Abrir la ciencia para cambiar el mundo,A Lafuente,https://www.academia.edu/download/58010555/Abrir_la_ciencia_para_cambiar_el_mundo.pdf,
NO,google scholar,Academic positions,H Lipson,https://www.hodlipson.com/uploads/6/9/3/4/69340277/hodlipson_cv.pdf,
NO,google scholar,Actualizing the Promise of a More Democratic Science: Three Challenges for Open Science,M Fressoli and V Arza,https://ocsdnet.org/actualizing-the-promise-of-a-more-democratic-science-three-challenges-for-open-science/,
NO,zenodo,Ada Byron and her contributions to early computer science,"- Punt, Marija
- Punt, Martijn",,10.5281/zenodo.1470547
NO,google scholar,Adapting Monitoring to More Effectively Assess the Impacts of Climate Change on Alberta's Biodiversity,EM Bayne and D Stralberg and A Nixon,http://biodiversityandclimate.abmi.ca/wp-content/uploads/2015/07/Bayne_etal_2015_AdaptingMonitoringForBiodiversityandClimateChange.pdf,
NO,google scholar,ADF: An anomaly detection framework for large-scale PM2. 5 sensing systems,LJ Chen and YH Ho and HH Hsieh and ST Huang…,https://ieeexplore.ieee.org/abstract/document/8081731/,
NO,zenodo,Advancing Citizen Science for Coastal and Ocean Research,"- Garcia-Soto, Carlos
- van der Meeren, Gro I.
- Delany, Jane
- Domegan, Christine
- Dubsky, Karin
- Gorsky, Gabriel
- von Juterzenka, Karen
- Malfatti, Francesca
- Mannaerts, Gerald
- McHugh, Patricia
- Seys, Jan
- Weslawski, Jan Marcin
- Zielinski, Oliver
- Busch, Julia A.
- Monestiez, Pascal
- Fauville, Geraldine",,10.5281/zenodo.3338094
