include,order,title,abstract,author,url,eprint
NO,172,DELIVERABLE,"… Specifically it proposes that 'open source hardware, open source software and open design
involve the development of … [Redistributing Power] 2.4.2 Accessible Technology We see the uptake
of low cost technology, open hardware and open software, gaining traction … 
",M Woods and I Fazey and D Hemment,http://making-sense.eu/wp-content/uploads/2016/08/Making-Sense-D51-Recommendations-and-Guidelines-for-Powerful-and-Deliberate-Practices.pdf,http://making-sense.eu/wp-content/uploads/2016/08/Making-Sense-D51-Recommendations-and-Guidelines-for-Powerful-and-Deliberate-Practices.pdf
NO,318,DELIVERABLE,"… platforms, new urban sensing technologies have been designed and released to citizens without
being part of specific citizen science projects or … Tools, networks and venues, such as open-source
software and hardware models, peer- to-peer movements, open design, and a … 
",M Balestrini and TD Ladera and A Pólvora and S Nascimento,http://making-sense.eu/wp-content/uploads/2016/07/Making-Sense-D62-D41-Mapping-Participatory-Sensing.pdf,http://making-sense.eu/wp-content/uploads/2016/07/Making-Sense-D62-D41-Mapping-Participatory-Sensing.pdf
NO,617,"Delivering IoT Services in Smart Cities and Environmental Monitoring through Collective Awareness, Mobile Crowdsensing and Open Data","… CBM Community-Based Monitoring CBOS Classwise Bag-of-Summaries CCU Central
Coordination Unit CDF Cumulative Distribution Function CDMA Code Division Multiple Access
CIoT Cellular IoT CoAP Constrained Application Protocol CS Citizen Science CSI Custom … 
",F Montori,http://amsdottorato.unibo.it/id/eprint/8957,http://amsdottorato.unibo.it/8957/1/THESIS_REV.pdf
NO,24,Democratising design in scientific innovation: application of an open value network to open source hardware design,"… From the 'open design' movement (eg Halpern et al., 2013; Marttila & Botero, 2013; Phillips &
Baurley, 2007; Phillips et al., 2014; van Abel et al., 2011) to … Quantifying the value of open source
hardware development … Open Design Now: Why Design Cannot Remain Exclusive … 
",M Frangos and JM Pearce and T Brastaviceanu and AA Mahmoud…,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3331281,https://hal.archives-ouvertes.fr/hal-02113462/document
NO,367,Des TIC-D ouvertes,"… fra stru ctu re re q u ired (te ch n ica l & so cia l) Collaborative creation of school curriculum Open
hardware Open health info standards Kiva.org Citizen science Mesh networks Figure 1. Diverses
activités de TIC-D, sur une échelle d'ouverture de plus fermée à plus ouverte … 
",M Smith and NJ Engler and G Christian and K Diga and A Rashid…,https://www.researchgate.net/profile/Matthew_Smith8/publication/253385758_Des_TIC-D_ouvertes/links/575e8e5108aec91374b3cf56.pdf,https://www.researchgate.net/profile/Matthew_Smith8/publication/253385758_Des_TIC-D_ouvertes/links/575e8e5108aec91374b3cf56.pdf
NO,404,Desenvolvimento de tecnologia para ciência e educação fundamentado nos preceitos de liberdade do conhecimento: o caso do Centro de Tecnologia Acadêmica …,"… Keywords: Free Knowledge; Citizen Science; Open Educational Resources; Free Software … 11
Optamos por traduzir open source hardware por “hardware aberto e livre”, pois, em português,
não existe a ambiguidade de interpretação que o termo … 15 Open Hardware Repository … 
",RP Pezzi and HCM Fernandes and RV Brandão…,http://revista.ibict.br/liinc/article/view/3757,http://revista.ibict.br/liinc/article/download/3757/3220
NO,168,Design and Deploying Tools to 'Actively Engaging Nature',"… Open Design “empowers people to make and understand products and processes, with more
transparency”, leading to more independent user led … state “research in citizen science takes a
diverse approach where the balance between scientific, educational, societal and policy … 
",R Phillips and A Abbas-Nazari and J Tooze and B Gaver…,https://link.springer.com/chapter/10.1007/978-3-030-22012-9_37,
NO,245,Design anthropological futures,"… He is co-director of the research centre, CODE, engaging open design collaborations and
participatory design in the context of … of understanding people better and offering design solutions
for wellbeing through the use of sensor data, participatory sensing, and citizen science … 
",RC Smith and KT Vangkilde and MG Kjærsgaard and T Otto…,https://books.google.com/books?hl=es&lr=&id=9nmcDAAAQBAJ&oi=fnd&pg=PP1&dq=(%22open-source+hardware%22+OR+%22open-design+movement%22+OR+%22open+design%22+OR+%22open+hardware%22+OR+%22open+machine+design%22)+AND+(%22citizen+science%22+OR+%22community+science%22+OR+%22crowd+science%22+OR+%22crowd-sourced+science%22+OR+%22civic+science%22+OR+%22volunteer+monitoring%22)&ots=KVPcg0aN1z&sig=SUhEQI5VSV0n9LcVO7ITvRb36I4,https://researchonline.jcu.edu.au/46540/1/46540_46541_46542_Smith_etal_2016_FrontPages.pdf
NO,83,Design insights for socially-led interventions,"… They involve people and communi- ties without formal training, restructuring the citizen science
model, as anyone can contribute (Figure 6). This leverages the participant's motivation to
explore their surroundings, based on their geographic interests … 
",R Phillips,https://www.ingentaconnect.com/content/intellect/dbs/2019/00000005/00000001/art00002,
NO,317,Design Research at the Crossroads of Education and Practice,"… a citizen science project co-funded for two years by the European Commission's largest research
and innovation program, Horizon 2020. The aims of Making Sense are “to explore how open
source software, open source hardware, digital maker practices, and open design can … 
",EBN Sanders,https://www.sciencedirect.com/science/article/pii/S2405872616300636,https://www.sciencedirect.com/science/article/pii/S2405872616300636
NO,253,"Design Research in Professional Practice: Contextual Empathy, The Indian Train Network","Page 1. DESIGN RESEARCH IN PROFESSIONAL PRACTICE Contextual Empathy,
The Indian Train Network Dr. Robert Phillips1 and Professor Roberto Fraquelli2 1Royal
College of Art, Design Products. 2Schumacher College … 
",R Phillips and F Roberto,http://researchonline.rca.ac.uk/3596/,http://researchonline.rca.ac.uk/3596/1/Contextual%20Empathy%2C%20The%20Indian%20Network.pdf
NO,339,"Design, User Experience, and Usability: Design Philosophy, Methods, and Tools: Second International Conference, DUXU 2013, Held as Part of HCI …","Page 1. Aaron Marcus (Ed.) Design, User Experience, and Usability Design Philosophy, Methods,
and Tools Second International Conference, DUXU 2013 Held as Part of HCI International 2013
Las Vegas, NV, USA, July 2013, Proceedings, Part I 123 Page 2 … 
",A Marcus,https://books.google.com/books?hl=es&lr=&id=j5C7BQAAQBAJ&oi=fnd&pg=PR6&dq=(%22open-source+hardware%22+OR+%22open-design+movement%22+OR+%22open+design%22+OR+%22open+hardware%22+OR+%22open+machine+design%22)+AND+(%22citizen+science%22+OR+%22community+science%22+OR+%22crowd+science%22+OR+%22crowd-sourced+science%22+OR+%22civic+science%22+OR+%22volunteer+monitoring%22)&ots=_r8FGUJods&sig=lIowGdu1F0KoxJyzpIfxPFap06A,
NO,268,"Design, User Experience, and Usability: Web, Mobile, and Product Design: Second International Conference, DUXU 2013, Held as Part of HCI International …","… 414 Sabrina Oliveira, Virgınia Kistmann, Adriano Heemann, and Maria Lúcia LR Okimoto
Page 19. Table of Contents–Part IV XXI Open Design: Non-professional User-Designers
Creating Products for Citizen Science: A Case Study of Beekeepers … 
",A Marcus,https://books.google.com/books?hl=es&lr=&id=T2K7BQAAQBAJ&oi=fnd&pg=PR6&dq=(%22open-source+hardware%22+OR+%22open-design+movement%22+OR+%22open+design%22+OR+%22open+hardware%22+OR+%22open+machine+design%22)+AND+(%22citizen+science%22+OR+%22community+science%22+OR+%22crowd+science%22+OR+%22crowd-sourced+science%22+OR+%22civic+science%22+OR+%22volunteer+monitoring%22)&ots=Ius6QePgD4&sig=mQs8PV-sV7N_dM5VvcZjFR22XKE,
NO,593,Designing technologies for unproductive citizens,"… 37 Citizen science.....39 TexTales and SMSlingshot..... 40 Street lab in Neukoln. Berlin … 
",SM Galán Nieto,http://muep.mau.se/handle/2043/14416,https://muep.mau.se/bitstream/handle/2043/14416/UnproductiveCities-final_report.pdf?sequence=2
NO,616,Designing Tools for Collaborative Sensemaking During Complex Crime Analysis,"Page 1. DESIGNING TOOLS FOR COLLABORATIVE SENSEMAKING DURING COMPLEX CRIME
ANALYSIS A Dissertation Presented to the Faculty of the Graduate School of Cornell University
In Partial Fulfillment of the Requirements for the Degree of Doctor of Philosophy by … 
",N Goyal,https://ecommons.cornell.edu/handle/1813/56788,https://ecommons.cornell.edu/bitstream/handle/1813/56788/Goyal_cornellgrad_0058F_10541.pdf?sequence=1
NO,426,DESIGNING WELL,"… DIY projects can be considered in the vein of 'citizen science'—which has been a recent focus
within Interaction Design (Paulos et al … Of speciﬁc interest is that this DIY project can be created
with open— source hardware and software, as opposed to closed commercial models … 
",SI Design,https://books.google.com/books?hl=es&lr=&id=m0oWywvtS10C&oi=fnd&pg=PA74&dq=(%22open-source+hardware%22+OR+%22open-design+movement%22+OR+%22open+design%22+OR+%22open+hardware%22+OR+%22open+machine+design%22)+AND+(%22citizen+science%22+OR+%22community+science%22+OR+%22crowd+science%22+OR+%22crowd-sourced+science%22+OR+%22civic+science%22+OR+%22volunteer+monitoring%22)&ots=JZV4uJ8fEM&sig=TimmS6rjx4kLAYABINLQRoT4t1w,
NO,423,Designing well: sustain-able interaction design and vegetarianism,"… DIY projects can be considered in the vein of 'citizen science' – which has been a recent focus
within Interaction Design (Paulos et al … Of specific interest is that this DIY project can be created
with open- source hardware and software, as opposed to closed commercial models … 
",G Sade,https://www.taylorfrancis.com/books/e/9780203123973/chapters/10.4324/9780203123973-14,
NO,211,Designing With Environmental Data,"Page 1. 1 Page 2. 2 3 15-19 June Sunda y Monda y T uesda y W ednesda y T hursda y 9
.00-9 .30 R egistra tion Co ffe e R egistra tion Co ffe e R egistra tion Co ffe e Co ffe e 9 .30-11.00
W orkshops and Doctoral C olloquium Opening Plenary Deba te Deba te Deba te P apers … 
",T Kerridge and S Pennington and D Cameron and J Bowers…,http://research.gold.ac.uk/24864/,http://research.gold.ac.uk/24864/1/drs-companion-v13.pdf
NO,349,Designs for Experimentation and Inquiry: Approaching Learning and Knowing in Digital Transformation,"… Dick Kasperowski is Associate Professor of Theory of Science at the Uni- versity of Gothenburg.
His main interests include citizen science, governance of science, participatory practices in science
and the humanities and open colla- borative projects in scientific work … 
",Å Mäkitalo and TE Nicewonger and M Elam,https://books.google.com/books?hl=es&lr=&id=Os6gDwAAQBAJ&oi=fnd&pg=PP1&dq=(%22open-source+hardware%22+OR+%22open-design+movement%22+OR+%22open+design%22+OR+%22open+hardware%22+OR+%22open+machine+design%22)+AND+(%22citizen+science%22+OR+%22community+science%22+OR+%22crowd+science%22+OR+%22crowd-sourced+science%22+OR+%22civic+science%22+OR+%22volunteer+monitoring%22)&ots=LBQVga8XJd&sig=lTkxVpSw27BmSArS6y_buqihYsw,
NO,677,Detecting location spoofing in social media: Initial investigations of an emerging issue in geospatial big data,"… information, and analyzing the motivations for spoofing. Specifically, this chapter introduces how
to assemble a data crawling cluster using open-source hardware. Then, the specific procedure
of harvesting large-scale social media feeds using this assembled cluster … 
",B Zhao,http://rave.ohiolink.edu/etdc/view?acc_num=osu1437190118,https://etd.ohiolink.edu/!etd.send_file?accession=osu1437190118&disposition=inline
NO,649,Developing a dashboard for real-time data stream composition and visualization,"… A recent development originating from the open source movement are single-board microcon-
trollers and computers like Arduino, BeagleBoard or Raspberry Pi. These open hardware plat-
forms empower amateurs to experiment and quickly prototype innovative ideas … 
",D Filonik,http://eprints.qut.edu.au/66731/,http://eprints.qut.edu.au/66731/1/DA_Daniel_Filonik.pdf
NO,635,Developing and applying user-friendly web portals for sharing Great Lakes remote sensing data,"… Sensor-enabled communities of practice, like Publiclab.org, PhotosynQ.org, Smart Citizen, and
many others, represent the next generation of global, collaborative citizen science efforts …
environmental monitoring. Keywords: Citizen science, Data acquisition, Commons … 
",CN Brooks and RA Shuchman and MJ Sayers and AG Grimm…,http://digitalcommons.mtu.edu/cgi/viewcontent.cgi?article=1262&context=mtri_p,http://digitalcommons.mtu.edu/cgi/viewcontent.cgi?article=1262&context=mtri_p
NO,312,Developing Maker Economies in Post-Industrial Cities: Applying Commons Based Peer Production to Mycelium Biomaterials,"… SETI@home, a project which searches for extra terrestrial life ● Clickworkers, a citizen science
program … Balka et al. went to great length to collect examples of open source hardware … basis for
their quantitative studies. They find, 'that, in open design communities, tangible … 
",GR Rocco,https://scholarworks.umass.edu/masters_theses_2/257/,https://scholarworks.umass.edu/cgi/viewcontent.cgi?article=1248&context=masters_theses_2
NO,501,Developing science tabletop games: Catan and global warming,"Page 1. Illingworth, Samuel and Wake, paul (2019)Developing science tabletop games: Catan
and global warming. JCOM : Journal of Science Commu- nication. ISSN 1824-2049 (In Press)
Downloaded from: http://e-space.mmu.ac.uk/623494/ Version: Accepted Version … 
",S Illingworth,https://e-space.mmu.ac.uk/623494/1/JCOM_003A_1218.pdf,https://e-space.mmu.ac.uk/623494/1/JCOM_003A_1218.pdf
NO,498,Development and On-Field testing of Low-Cost portable system for monitoring PM2. 5 concentrations,"… Mobile monitoring techniques also receive an increasing attention for participatory sensing
and crowdsourcing methods [23,24], hence setting the field for urban citizen science to
investigate the correlation between air quality and public health … 
",KN Genikomsakis and NF Galatoulas and PI Dallas…,https://www.mdpi.com/1424-8220/18/4/1056,https://www.mdpi.com/1424-8220/18/4/1056/pdf
NO,513,Development of a general crowdsourcing maturity model,"… Such processes do not evolve only in business; they are also reflected in sciences, such as Citizen
Science 2.0 and research practices. Maturity models are a simple but effective way to measure
the quality of productive processes … Open Design and Crowdsourcing: Maturity … 
",CM Durango Yepes and VD Gil Vera,http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-46452016000100007,http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-46452016000100007
NO,562,Development of a general crowdsourcing maturity model,"… Such processes do not evolve only in busi- ness; they are also reflected in sciences,
such as Citizen Science 2.0 and research practices. Maturity models are a simple but
effec- tive way to measure the quality of produc- tive processes … 
",CMD Yepesa and VDG Verab,https://www.researchgate.net/profile/Victor_Gil_Vera/publication/307908941_Development_of_a_general_crowdsourcing_maturity_model/links/57d1822308ae0c0081e0254b/Development-of-a-general-crowdsourcing-maturity-model.pdf,https://www.researchgate.net/profile/Victor_Gil_Vera/publication/307908941_Development_of_a_general_crowdsourcing_maturity_model/links/57d1822308ae0c0081e0254b/Development-of-a-general-crowdsourcing-maturity-model.pdf
SI!,506,Development of a low-cost arduino-based sonde for coastal applications,"This project addresses the need for an expansion in the monitoring of marine environments by
providing a detailed description of a low cost, robust, user friendly sonde, built on Arduino Mega
2560 (Mega) and Arduino Uno (Uno) platforms. The sonde can be made without specialized … 
",G Lockridge and B Dzwonkowski and R Nelson and S Powers,https://www.mdpi.com/1424-8220/16/4/528,https://www.mdpi.com/1424-8220/16/4/528/pdf
NO,49,"Development of a Low-Cost, Open Hardware Attitude Control System for High Powered Rockets","… I. Introduction The Portland State Aerospace Society (PSAS) is an engineering student group
and citizen science project at Portland State University dedicated to building low-cost,
open-source, and open-hardware high-powered rockets and avionics systems … 
",ES Schmidt and J Louke and K Amell and J Hickman…,https://arc.aiaa.org/doi/pdf/10.2514/6.2015-4623,https://www.researchgate.net/profile/Erin_Schmidt3/publication/281464326_Development_of_a_Low-Cost_Open-Hardware_Attitude_Control_System_for_High_Powered_Rockets/links/5600285308aeba1d9f84bb1e/Development-of-a-Low-Cost-Open-Hardware-Attitude-Control-System-for-High-Powered-Rockets.pdf
NO,420,devenir un acteur de la Smart City: comment basculer d'une stratégie digitale à une démarche smart city dans mon entreprise?,"… INITIATIVES BOTTOM-UP • Ville d'Amsterdam : Citizen Science – co-créer des applications
et outils • FabLabs et Maker Spaces: soutien des projets-citoyens dans l'open hardware,
community informatics, online databases, plateformes de partage … 
",D Bounazef,https://orbi.uliege.be/bitstream/2268/223151/1/Devenir%20un%20acteur%20de%20la%20smart%20city-%20djida%20bounazef%20%28complete%29.pdf,https://orbi.uliege.be/bitstream/2268/223151/1/Devenir%20un%20acteur%20de%20la%20smart%20city-%20djida%20bounazef%20%28complete%29.pdf
NO,302,"Devising from a Distance: a Study of the Difference in Process, Composition, and Audience Response between In-Person and Digitally-Mediated Choreographic …","… industrialization” (123). Matt Ratto sees open design as an exciting future for artists; “Open design,
particularly in regards to digital hardware and software heralds new possibilities … citizen science,
or collective intelligence, this concept uses large-scale collaboration on a … 
",K Butler,https://digitalcommons.colby.edu/honorstheses/863/,https://digitalcommons.colby.edu/cgi/viewcontent.cgi?article=1888&context=honorstheses
NO,90,Digital health & self-experimentation: design challenges & provocations,"… Denisa Kera is a philosopher and designer working on open science, DIYbio, and various
citizen science projects. She is part of the Hackteria.org network, a community of scientists,
artists and designers interested in open hardware for science projects … 
",M Dolejsova and D Kera and C Storni and RA Khot…,https://dl.acm.org/citation.cfm?id=3027071,
NO,145,Digital instrumentation for the radio astronomy community,"… Contributors to such tech- nological development may be centers of support for this DSP
community, science groups that … This community pools the expertise of constituent researchers
and engineers around general-purpose, open-source hardware and software resources for … 
",A Parsons and D Werthimer and D Backer and T Bastian…,https://arxiv.org/abs/0904.1181,https://arxiv.org/pdf/0904.1181
NO,706,"Digital participation through social living labs: valuing local knowledge, enhancing engagement","… LIVING LABS PIONEER THE SOCIO-ECOLOGICAL TRANSITIONING THAT SOCIETY NEEDS
Movements that are part of the open innovation ecosystem, such as Living Labs, Fab Labs, Maker
Labs, Open Innovation 2.0, Knowledge Alliances and Citizen Science, all involve … 
",M Dezuanni and M Foth and K Mallan and H Hughes,https://books.google.com/books?hl=es&lr=&id=nd3kDAAAQBAJ&oi=fnd&pg=PP1&dq=(%22open-source+hardware%22+OR+%22open-design+movement%22+OR+%22open+design%22+OR+%22open+hardware%22+OR+%22open+machine+design%22)+AND+(%22citizen+science%22+OR+%22community+science%22+OR+%22crowd+science%22+OR+%22crowd-sourced+science%22+OR+%22civic+science%22+OR+%22volunteer+monitoring%22)&ots=zPxqvyRi-q&sig=7gfMeJqdZc-lbofCLte-n5yOMBg,
NO,288,Dissemination level: Public Deliverable type: Final Version: 1 Submission date: Due 31 August 2017,"… Open Evidence Global An academic spin-off of Universitat Oberta de Catalunya providing advice
on open design and methodologies, gather … CitizenScience.org aims to harness the knowledge
gained by practitioners and researchers across the field of citizen science to build … 
",T Hatzakis and R Finn and C Hitrova,https://clarity-csa.eu/sites/default/files/CLARITY%20D1.6%205%20FINAL.pdf,https://clarity-csa.eu/sites/default/files/CLARITY%20D1.6%205%20FINAL.pdf
NO,187,Dissemination Report,"… they may engage in advocacy to draft laws more protective of digital rights and privacy, more
supportive of open hardware, or spectrum … an ethnography of CNs in Greece, France, Germany
and Spain with desk research on the definitions of citizen science, and theories on the … 
",NI as Commons,https://www.netcommons.eu/sites/default/files/d6.2_v1.0-final.pdf,https://www.netcommons.eu/sites/default/files/d6.2_v1.0-final.pdf
SI!,96,DIY Bioacoustics,"… i) continued expansion of machine learning and automated identification of insect species (ii)
creation of open source hardware for conducting … The production of the sensor will rely on
entangling bioacoustics, citizen science, open source and diy technological development and … 
",A Potts and M Kim and F Sanzeni and DB Conaty,https://www.hackster.io/65001/diy-bioacoustics-ae28a3,https://www.hackster.io/65001/diy-bioacoustics-ae28a3
SI!,106,DIY networking as a facilitator for interdisciplinary research on the hybrid city,"… dialogues and/or provide information for pre- determined inquiries, within paradigms such as
e- deliberation, citizen science and crowdsourcing … 1. the advances of wireless technology and
open hardware that make local wireless community networks, or DIY networking, easier … 
",P Antoniadis and I Apostol and M Gaved and M Smyth and A Unteidig,http://oro.open.ac.uk/44997/,https://oro.open.ac.uk/44997/1/antoniadis_et_al_DIYnetworking_HybridCity2015.pdf
